as_of,topic,text_ko,text_en
2026-09-17,us,"- 미국 12월, 내년 3월 추가 인상하여 최종 기준금리 4.50% 전망
9월 점도표에서 내년 연말까지 4.25% 제시. 단, 8명의 위원은 추가 인상을 예상. AI 투자 사이클 주도의 성장세 고려 시 금리 상승 압력 지속될 전망. 미국 10년 금리 적정 레벨은 4.9%대이나 긴축 사이클 초반부에 상방 리스크에 유의",(US: 2-3 line summary)
2026-05-28,kr,"- 한국 11월, 내년 2월 추가 인상하여 최종 기준금리 3.50% 전망
반도체 중심의 수출 호조가 설비투자 등 내수로 확산. GDP 갭률 (+) 전환에 따른 근원 인플레이션 압력 지속
국고채 금리는 4분기 중 성장 전망이 정점에 달하고 기준금리 인상 사이클이 2/3 이상 진행되면서 고점 형성할 전망",(Korea: 2-3 line summary)
